vaccine,country_code,country,year,coverage
MCV1,MBU,embu,2023,0
MCV1,MBU,embu,2022,0
MCV1,MBU,embu,2019,0
MCV1,MBU,embu,2021,0
MCV1,GSA,garissa,2025,0
MCV1,GSA,garissa,2026,0
MCV1,GSA,garissa,2028,0
MCV1,GSA,garissa,2014,0
MCV1,GSA,garissa,2015,0
MCV1,GSA,garissa,2016,0
MCV1,GSA,garissa,2017,0
MCV1,GSA,garissa,2018,0
MCV1,GSA,garissa,2019,0
MCV1,GSA,garissa,2029,0
MCV1,GSA,garissa,2013,0
MCV1,GSA,garissa,2030,0
MCV1,GSA,garissa,2024,0
MCV1,GSA,garissa,2021,0
MCV1,GSA,garissa,2022,0
MCV1,GSA,garissa,2027,0
MCV1,GSA,garissa,2020,0
MCV1,GSA,garissa,2023,0
MCV1,HBA,homa bay,2024,0
MCV1,HBA,homa bay,2017,0
MCV1,HBA,homa bay,2019,0
MCV1,HBA,homa bay,2020,0
MCV1,HBA,homa bay,2021,0
MCV1,HBA,homa bay,2018,0
MCV1,HBA,homa bay,2013,0
MCV1,HBA,homa bay,2014,0
MCV1,HBA,homa bay,2026,0
MCV1,HBA,homa bay,2016,0
MCV1,HBA,homa bay,2030,0
MCV1,HBA,homa bay,2025,0
MCV1,HBA,homa bay,2027,0
MCV1,HBA,homa bay,2029,0
MCV1,HBA,homa bay,2023,0
MCV1,HBA,homa bay,2028,0
MCV1,HBA,homa bay,2015,0
MCV1,HBA,homa bay,2022,0
MCV1,ISO,isiolo,2022,0
MCV1,ISO,isiolo,2023,0
MCV1,ISO,isiolo,2017,0
MCV1,ISO,isiolo,2014,0
MCV1,ISO,isiolo,2016,0
MCV1,ISO,isiolo,2021,0
MCV1,ISO,isiolo,2018,0
MCV1,ISO,isiolo,2027,0
MCV1,ISO,isiolo,2020,0
MCV1,ISO,isiolo,2029,0
MCV1,ISO,isiolo,2030,0
MCV1,ISO,isiolo,2024,0
MCV1,ISO,isiolo,2015,0
MCV1,ISO,isiolo,2028,0
MCV1,ISO,isiolo,2026,0
MCV1,ISO,isiolo,2013,0
MCV1,ISO,isiolo,2025,0
MCV1,ISO,isiolo,2019,0
MCV1,KJD,kajiado,2013,0
MCV1,KJD,kajiado,2030,0
MCV1,KJD,kajiado,2024,0
MCV1,KJD,kajiado,2014,0
MCV1,KJD,kajiado,2018,0
MCV1,KJD,kajiado,2019,0
MCV1,KJD,kajiado,2028,0
MCV1,KJD,kajiado,2026,0
MCV1,KJD,kajiado,2017,0
MCV1,KJD,kajiado,2029,0
MCV1,KJD,kajiado,2021,0
MCV1,KJD,kajiado,2027,0
MCV1,KJD,kajiado,2023,0
MCV1,KJD,kajiado,2016,0
MCV1,KJD,kajiado,2022,0
MCV1,KJD,kajiado,2025,0
MCV1,KJD,kajiado,2020,0
MCV1,KJD,kajiado,2015,0
MCV1,KKM,kakamega,2016,0
MCV1,KKM,kakamega,2030,0
MCV1,KKM,kakamega,2015,0
MCV1,KKM,kakamega,2022,0
MCV1,KKM,kakamega,2028,0
MCV1,KKM,kakamega,2021,0
MCV1,KKM,kakamega,2014,0
MCV1,KKM,kakamega,2029,0
MCV1,KKM,kakamega,2025,0
MCV1,KKM,kakamega,2020,0
MCV1,KKM,kakamega,2026,0
MCV1,KKM,kakamega,2024,0
MCV1,KKM,kakamega,2023,0
MCV1,KKM,kakamega,2027,0
MCV1,KKM,kakamega,2017,0
MCV1,KKM,kakamega,2013,0
MCV1,KKM,kakamega,2018,0
MCV1,KKM,kakamega,2019,0
MCV1,KCH,kericho,2030,0
MCV1,KCH,kericho,2028,0
MCV1,KCH,kericho,2017,0
MCV1,KCH,kericho,2024,0
MCV1,KCH,kericho,2018,0
MCV1,KCH,kericho,2023,0
MCV1,KCH,kericho,2026,0
MCV1,KCH,kericho,2013,0
MCV1,KCH,kericho,2025,0
MCV1,KCH,kericho,2027,0
MCV1,KCH,kericho,2019,0
MCV1,KCH,kericho,2016,0
MCV1,KCH,kericho,2020,0
MCV1,KCH,kericho,2021,0
MCV1,KCH,kericho,2014,0
MCV1,KCH,kericho,2029,0
MCV1,KCH,kericho,2022,0
MCV1,KCH,kericho,2015,0
MCV1,KIA,kiambu,2021,0
MCV1,KIA,kiambu,2030,0
MCV1,KIA,kiambu,2014,0
MCV1,KIA,kiambu,2015,0
MCV1,KIA,kiambu,2025,0
MCV1,KIA,kiambu,2022,0
MCV1,KIA,kiambu,2020,0
MCV1,KIA,kiambu,2028,0
MCV1,KIA,kiambu,2026,0
MCV1,KIA,kiambu,2027,0
MCV1,KIA,kiambu,2013,0
MCV1,KIA,kiambu,2029,0
MCV1,KIA,kiambu,2019,0
MCV1,KIA,kiambu,2016,0
MCV1,KIA,kiambu,2017,0
MCV1,KIA,kiambu,2018,0
MCV1,KIA,kiambu,2024,0
MCV1,KIA,kiambu,2023,0
MCV1,KIF,kilifi,2017,0
MCV1,KIF,kilifi,2028,0
MCV1,KIF,kilifi,2013,0
MCV1,KIF,kilifi,2014,0
MCV1,KIF,kilifi,2015,0
MCV1,KIF,kilifi,2016,0
MCV1,KIF,kilifi,2027,0
MCV1,KIF,kilifi,2029,0
MCV1,KIF,kilifi,2018,0
MCV1,KIF,kilifi,2019,0
MCV1,KIF,kilifi,2020,0
MCV1,KIF,kilifi,2021,0
MCV1,KIF,kilifi,2022,0
MCV1,KIF,kilifi,2024,0
MCV1,KIF,kilifi,2030,0
MCV1,KIF,kilifi,2026,0
MCV1,KIF,kilifi,2025,0
MCV1,KIF,kilifi,2023,0
MCV1,KGA,kirinyaga,2014,0
MCV1,KGA,kirinyaga,2015,0
MCV1,KGA,kirinyaga,2030,0
MCV1,KGA,kirinyaga,2025,0
MCV1,KGA,kirinyaga,2020,0
MCV1,KGA,kirinyaga,2016,0
MCV1,KGA,kirinyaga,2013,0
MCV1,KGA,kirinyaga,2023,0
MCV1,KGA,kirinyaga,2027,0
MCV1,KGA,kirinyaga,2021,0
MCV1,KGA,kirinyaga,2022,0
MCV1,KGA,kirinyaga,2017,0
MCV1,KGA,kirinyaga,2024,0
MCV1,KGA,kirinyaga,2018,0
MCV1,KGA,kirinyaga,2026,0
MCV1,KGA,kirinyaga,2029,0
MCV1,KGA,kirinyaga,2019,0
MCV1,KGA,kirinyaga,2028,0
MCV1,KIS,kisii,2013,0
MCV1,KIS,kisii,2020,0
MCV1,KIS,kisii,2019,0
MCV1,KIS,kisii,2025,0
MCV1,KIS,kisii,2021,0
MCV1,KIS,kisii,2018,0
MCV1,KIS,kisii,2029,0
MCV1,KIS,kisii,2024,0
MCV1,KIS,kisii,2030,0
MCV1,KIS,kisii,2023,0
MCV1,KIS,kisii,2026,0
MCV1,KIS,kisii,2017,0
MCV1,KIS,kisii,2027,0
MCV1,KIS,kisii,2014,0
MCV1,KIS,kisii,2028,0
MCV1,KIS,kisii,2022,0
MCV1,KIS,kisii,2015,0
MCV1,KIS,kisii,2016,0
MCV1,KSU,kisumu,2023,0
MCV1,KSU,kisumu,2016,0
MCV1,KSU,kisumu,2014,0
MCV1,KSU,kisumu,2015,0
MCV1,KSU,kisumu,2030,0
MCV1,KSU,kisumu,2013,0
MCV1,KSU,kisumu,2029,0
MCV1,KSU,kisumu,2022,0
MCV1,KSU,kisumu,2025,0
MCV1,KSU,kisumu,2017,0
MCV1,KSU,kisumu,2028,0
MCV1,KSU,kisumu,2021,0
MCV1,KSU,kisumu,2024,0
MCV1,KSU,kisumu,2027,0
MCV1,KSU,kisumu,2018,0
MCV1,KSU,kisumu,2026,0
MCV1,KSU,kisumu,2020,0
MCV1,KSU,kisumu,2019,0
MCV1,KTU,kitui,2018,0
MCV1,KTU,kitui,2023,0
MCV1,KTU,kitui,2019,0
MCV1,KTU,kitui,2029,0
MCV1,KTU,kitui,2017,0
MCV1,KTU,kitui,2025,0
MCV1,KTU,kitui,2013,0
MCV1,KTU,kitui,2030,0
MCV1,KTU,kitui,2026,0
MCV1,KTU,kitui,2015,0
MCV1,KTU,kitui,2027,0
MCV1,KTU,kitui,2024,0
MCV1,KTU,kitui,2014,0
MCV1,KTU,kitui,2028,0
MCV1,KTU,kitui,2016,0
MCV1,KTU,kitui,2021,0
MCV1,KTU,kitui,2020,0
MCV1,KTU,kitui,2022,0
MCV1,KLE,kwale,2027,0
MCV1,KLE,kwale,2014,0
MCV1,KLE,kwale,2015,0
MCV1,KLE,kwale,2029,0
MCV1,KLE,kwale,2030,0
MCV1,KLE,kwale,2025,0
MCV1,KLE,kwale,2018,0
MCV1,KLE,kwale,2024,0
MCV1,KLE,kwale,2013,0
MCV1,KLE,kwale,2016,0
MCV1,KLE,kwale,2017,0
MCV1,KLE,kwale,2019,0
